fileName,chunk1FileName,chunk2FileName,chunk3FileName
75-75-75_t01-proud-ambitious-75_t01-sad-reflective-75_t01-relaxed-peaceful-75.mp3,t01-proud-ambitious-75.mp3,t01-sad-reflective-75.mp3,t01-relaxed-peaceful-75.mp3
75-75-75_t01-romantic-sensitive-75_t01-cosy-warm-safe-75_t01-dramatic-stormy-75.mp3,t01-romantic-sensitive-75.mp3,t01-cosy-warm-safe-75.mp3,t01-dramatic-stormy-75.mp3
100-75-75_t01-exploring-curious-100_t01-romantic-sensitive-75_t01-energetic-intense-75.mp3,t01-exploring-curious-100.mp3,t01-romantic-sensitive-75.mp3,t01-energetic-intense-75.mp3
75-75-100_t01-proud-ambitious-75_t01-relaxed-peaceful-75_t01-happy-joy-100.mp3,t01-proud-ambitious-75.mp3,t01-relaxed-peaceful-75.mp3,t01-happy-joy-100.mp3
75-100-75_t01-courageous-adventurous-75_t01-happy-joy-100_t01-energetic-intense-75.mp3,t01-courageous-adventurous-75.mp3,t01-happy-joy-100.mp3,t01-energetic-intense-75.mp3
75-100-75_t01-proud-ambitious-75_t01-exploring-curious-100_t01-romantic-sensitive-75.mp3,t01-proud-ambitious-75.mp3,t01-exploring-curious-100.mp3,t01-romantic-sensitive-75.mp3
100-100-75_t01-happy-joy-100_t01-exploring-curious-100_t01-energetic-intense-75.mp3,t01-happy-joy-100.mp3,t01-exploring-curious-100.mp3,t01-energetic-intense-75.mp3
75-100-75_t01-sad-reflective-75_t01-happy-joy-100_t01-energetic-intense-75.mp3,t01-sad-reflective-75.mp3,t01-happy-joy-100.mp3,t01-energetic-intense-75.mp3
100-75-75_t01-exploring-curious-100_t01-dramatic-stormy-75_t01-relaxed-peaceful-75.mp3,t01-exploring-curious-100.mp3,t01-dramatic-stormy-75.mp3,t01-relaxed-peaceful-75.mp3
75-75-75_t01-proud-ambitious-75_t01-energetic-intense-75_t01-courageous-adventurous-75.mp3,t01-proud-ambitious-75.mp3,t01-energetic-intense-75.mp3,t01-courageous-adventurous-75.mp3
75-75-100_t01-courageous-adventurous-75_t01-romantic-sensitive-75_t01-exploring-curious-100.mp3,t01-courageous-adventurous-75.mp3,t01-romantic-sensitive-75.mp3,t01-exploring-curious-100.mp3
75-75-100_t01-cosy-warm-safe-75_t01-courageous-adventurous-75_t01-exploring-curious-100.mp3,t01-cosy-warm-safe-75.mp3,t01-courageous-adventurous-75.mp3,t01-exploring-curious-100.mp3
75-75-75_t01-relaxed-peaceful-75_t01-dramatic-stormy-75_t01-courageous-adventurous-75.mp3,t01-relaxed-peaceful-75.mp3,t01-dramatic-stormy-75.mp3,t01-courageous-adventurous-75.mp3
100-75-75_t01-exploring-curious-100_t01-proud-ambitious-75_t01-sad-reflective-75.mp3,t01-exploring-curious-100.mp3,t01-proud-ambitious-75.mp3,t01-sad-reflective-75.mp3
75-75-100_t01-romantic-sensitive-75_t01-courageous-adventurous-75_t01-happy-joy-100.mp3,t01-romantic-sensitive-75.mp3,t01-courageous-adventurous-75.mp3,t01-happy-joy-100.mp3
75-75-75_t01-dramatic-stormy-75_t01-relaxed-peaceful-75_t01-proud-ambitious-75.mp3,t01-dramatic-stormy-75.mp3,t01-relaxed-peaceful-75.mp3,t01-proud-ambitious-75.mp3
75-75-100_t01-dramatic-stormy-75_t01-romantic-sensitive-75_t01-exploring-curious-100.mp3,t01-dramatic-stormy-75.mp3,t01-romantic-sensitive-75.mp3,t01-exploring-curious-100.mp3
75-75-75_t01-courageous-adventurous-75_t01-sad-reflective-75_t01-energetic-intense-75.mp3,t01-courageous-adventurous-75.mp3,t01-sad-reflective-75.mp3,t01-energetic-intense-75.mp3
75-75-75_t01-dramatic-stormy-75_t01-relaxed-peaceful-75_t01-energetic-intense-75.mp3,t01-dramatic-stormy-75.mp3,t01-relaxed-peaceful-75.mp3,t01-energetic-intense-75.mp3
75-75-75_t01-energetic-intense-75_t01-dramatic-stormy-75_t01-proud-ambitious-75.mp3,t01-energetic-intense-75.mp3,t01-dramatic-stormy-75.mp3,t01-proud-ambitious-75.mp3
75-75-75_t01-romantic-sensitive-75_t01-proud-ambitious-75_t01-energetic-intense-75.mp3,t01-romantic-sensitive-75.mp3,t01-proud-ambitious-75.mp3,t01-energetic-intense-75.mp3
75-100-100_t01-courageous-adventurous-75_t01-exploring-curious-100_t01-happy-joy-100.mp3,t01-courageous-adventurous-75.mp3,t01-exploring-curious-100.mp3,t01-happy-joy-100.mp3
75-75-75_t01-proud-ambitious-75_t01-courageous-adventurous-75_t01-sad-reflective-75.mp3,t01-proud-ambitious-75.mp3,t01-courageous-adventurous-75.mp3,t01-sad-reflective-75.mp3
75-100-75_t01-romantic-sensitive-75_t01-happy-joy-100_t01-relaxed-peaceful-75.mp3,t01-romantic-sensitive-75.mp3,t01-happy-joy-100.mp3,t01-relaxed-peaceful-75.mp3
75-75-75_t01-cosy-warm-safe-75_t01-proud-ambitious-75_t01-courageous-adventurous-75.mp3,t01-cosy-warm-safe-75.mp3,t01-proud-ambitious-75.mp3,t01-courageous-adventurous-75.mp3
100-75-75_t01-exploring-curious-100_t01-dramatic-stormy-75_t01-energetic-intense-75.mp3,t01-exploring-curious-100.mp3,t01-dramatic-stormy-75.mp3,t01-energetic-intense-75.mp3
75-75-75_t01-relaxed-peaceful-75_t01-energetic-intense-75_t01-dramatic-stormy-75.mp3,t01-relaxed-peaceful-75.mp3,t01-energetic-intense-75.mp3,t01-dramatic-stormy-75.mp3
75-75-75_t01-relaxed-peaceful-75_t01-courageous-adventurous-75_t01-sad-reflective-75.mp3,t01-relaxed-peaceful-75.mp3,t01-courageous-adventurous-75.mp3,t01-sad-reflective-75.mp3
75-75-75_t01-romantic-sensitive-75_t01-energetic-intense-75_t01-courageous-adventurous-75.mp3,t01-romantic-sensitive-75.mp3,t01-energetic-intense-75.mp3,t01-courageous-adventurous-75.mp3
75-75-75_t01-energetic-intense-75_t01-courageous-adventurous-75_t01-proud-ambitious-75.mp3,t01-energetic-intense-75.mp3,t01-courageous-adventurous-75.mp3,t01-proud-ambitious-75.mp3
75-75-75_t01-energetic-intense-75_t01-romantic-sensitive-75_t01-dramatic-stormy-75.mp3,t01-energetic-intense-75.mp3,t01-romantic-sensitive-75.mp3,t01-dramatic-stormy-75.mp3
75-75-75_t01-dramatic-stormy-75_t01-energetic-intense-75_t01-relaxed-peaceful-75.mp3,t01-dramatic-stormy-75.mp3,t01-energetic-intense-75.mp3,t01-relaxed-peaceful-75.mp3
100-75-100_t01-happy-joy-100_t01-proud-ambitious-75_t01-exploring-curious-100.mp3,t01-happy-joy-100.mp3,t01-proud-ambitious-75.mp3,t01-exploring-curious-100.mp3
75-75-75_t01-romantic-sensitive-75_t01-cosy-warm-safe-75_t01-courageous-adventurous-75.mp3,t01-romantic-sensitive-75.mp3,t01-cosy-warm-safe-75.mp3,t01-courageous-adventurous-75.mp3
